Year,1,2,3,4,5,6,7+
1980,0.171,0.332,0.482,0.622,0.751,0.87,1.197
1981,0.11,0.216,0.317,0.414,0.506,0.594,0.924
1982,0.105,0.208,0.308,0.406,0.502,0.596,0.869
1983,0.097,0.192,0.286,0.379,0.47,0.56,0.854
1984,0.082,0.164,0.248,0.333,0.42,0.507,0.738
1985,0.084,0.171,0.259,0.348,0.44,0.533,0.778
1986,0.101,0.205,0.311,0.42,0.532,0.646,0.85
1987,0.122,0.242,0.361,0.479,0.596,0.712,0.929
1988,0.084,0.168,0.254,0.34,0.427,0.514,0.715
1989,0.079,0.162,0.25,0.342,0.439,0.541,0.855
1990,0.085,0.23,0.322,0.346,0.465,0.549,1.118
1991,0.143,0.219,0.275,0.335,0.375,0.472,0.958
1992,0.088,0.241,0.336,0.421,0.477,0.521,0.725
1993,0.108,0.258,0.296,0.379,0.493,0.539,0.727
1994,0.165,0.198,0.276,0.331,0.383,0.493,0.866
1995,0.124,0.257,0.286,0.354,0.442,0.707,0.855
1996,0.178,0.229,0.263,0.347,0.354,0.474,0.934
1997,0.059,0.202,0.256,0.266,0.417,0.53,0.902
1998,0.072,0.203,0.273,0.361,0.53,0.67,0.873
1999,0.072,0.172,0.213,0.351,0.429,0.644,0.904
2000,0.068,0.184,0.204,0.246,0.355,0.554,0.928
2001,0.093,0.206,0.274,0.338,0.404,0.624,1.104
2002,0.102,0.206,0.281,0.379,0.467,0.558,0.809
2003,NA,0.306,0.403,0.528,0.673,0.592,0.961
2004,0.28,0.366,0.508,0.571,0.701,0.788,0.861
2005,0.174,0.299,0.377,0.489,0.672,0.683,1.01
2006,0.22,0.27,0.343,0.419,0.506,0.637,0.938
2007,0.063,0.247,0.391,0.543,0.579,0.656,0.825
2008,0.121,0.245,0.301,0.368,0.448,0.462,1.005
2009,NA,0.268,0.358,0.487,0.476,0.719,1.036
2010,NA,0.28,0.354,0.415,0.455,0.561,0.719
2011,0.189,0.238,0.402,0.535,0.737,0.791,0.908
2012,NA,0.253,0.298,0.424,0.517,0.629,0.938
2013,0.174,0.252,0.277,0.479,0.454,0.886,0.995
2014,0.157,0.256,0.243,0.381,0.518,0.756,1.042
2015,0.154,0.253,0.256,0.287,0.363,0.436,0.782
