Year,1,2,3,4,5,6,7+
1980,0.309,0.312,0.499,0.627,0.787,1.138,1.413
1981,0.224,0.28,0.349,0.434,0.666,0.814,1
1982,0.226,0.25,0.325,0.397,0.589,0.732,1.134
1983,0.239,0.266,0.314,0.378,0.488,0.74,1.112
1984,0.201,0.255,0.29,0.347,0.438,0.595,0.812
1985,0.235,0.257,0.278,0.395,0.464,0.527,0.798
1986,0.226,0.306,0.331,0.406,0.546,0.486,0.806
1987,0.245,0.275,0.351,0.465,0.563,0.764,0.947
1988,0.269,0.247,0.296,0.398,0.517,0.606,0.892
1989,0.187,0.25,0.299,0.345,0.441,0.604,1.008
1990,0.197,0.251,0.319,0.37,0.473,0.597,1.03
1991,0.217,0.267,0.299,0.375,0.437,0.535,0.978
1992,0.179,0.273,0.347,0.422,0.501,0.576,0.783
1993,0.219,0.27,0.334,0.429,0.504,0.587,0.86
1994,0.241,0.268,0.286,0.354,0.463,0.572,0.968
1995,0.214,0.266,0.307,0.382,0.476,0.675,0.927
1996,0.225,0.306,0.296,0.404,0.485,0.656,1.102
1997,0.194,0.246,0.291,0.324,0.431,0.562,0.99
1998,0.163,0.249,0.273,0.389,0.513,0.779,1.14
1999,0.196,0.244,0.234,0.305,0.46,0.749,1.093
2000,0.208,0.246,0.262,0.284,0.376,0.578,0.914
2001,0.225,0.263,0.317,0.387,0.467,0.671,1.093
2002,0.248,0.25,0.301,0.367,0.427,0.548,0.825
2003,NA,0.282,0.371,0.478,0.633,0.644,0.859
2004,0.245,0.298,0.4,0.499,0.69,0.788,0.997
2005,0.285,0.312,0.345,0.444,0.557,0.653,1.088
2006,0.259,0.277,0.304,0.361,0.444,0.552,0.843
2007,0.173,0.303,0.379,0.454,0.52,0.583,0.912
2008,0.231,0.282,0.338,0.418,0.529,0.623,0.939
2009,0.234,0.283,0.341,0.486,0.513,0.643,1.046
2010,0.225,0.296,0.348,0.438,0.497,0.639,0.821
2011,0.156,0.259,0.347,0.478,0.625,0.805,1.056
2012,0.198,0.287,0.346,0.437,0.54,0.691,1.026
2013,0.14,0.254,0.309,0.381,0.48,0.712,1.038
2014,0.169,0.249,0.283,0.357,0.492,0.674,0.945
2015,0.122,0.22,0.295,0.336,0.401,0.522,0.817
