Year,1,2,3,4,5,6,7+
1980,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA
1999,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA
2006,-0.00908802497026251,0.000317160399400329,-0.0877114822889293,-0.828808258987035,-0.785561402690001,0.0856016310998631,0.420110662402136
2007,-0.129604688517285,0.500441442253381,-0.0149413942511414,0.390171464650679,-2.63289602805587,0.0961841637281602,0.573021235087275
2008,0.164345321721679,-0.428216219175666,-0.940666347154367,0.161851448642549,0.920374581237548,1.65224771896786,0.94337154417269
2009,-0.0613416882617361,0.0948091350749873,0.0730366091595966,0.0376707482645129,0.50453006839587,2.60064971067863,1.83075819681509
2010,-0.0935873072695603,0.668405326031559,0.376184880051965,0.973918698443632,1.17859468653027,1.12768993354121,1.76332542884663
2011,0.0563050424620597,0.255256098469106,-0.616597546797546,-0.139143337323721,0.375636091650289,3.03444045154867,1.41390176573584
2012,0.0126413299311201,-0.0221961893337923,-0.0709068572108063,0.0129786720709753,0.0770516217482848,1.56638513427696,3.97886867348493
2013,-0.0237123241465902,0.0731806415255605,-0.107307940098631,0.00829162600489397,0.194623978131434,0.330908855233849,0.529452026654725
2014,-0.0148528205179783,0.0159744493148093,0.440025706001885,0.0499296143147561,0.156517387776443,0.160433449519698,-0.330746767224238
2015,0.0201212430166358,-0.129773732256984,-0.0289751770295847,-0.114159266688683,-0.155179218885102,0.0597147316019582,-0.000318196679008231
