Year,1,2,3,4,5,6
1989,-1.43148745175538,-0.62624064875624,-0.0213547215445602,0.386389179013932,-0.071161341989229,0.130270066630033
1990,-0.535476341426014,-0.619668547383968,-0.455192658825359,-0.154935132363839,0.173072683193266,-0.324967662033207
1991,-0.379759624126713,-0.0160145533287683,0.179937331116574,0.0508084152560935,0.194030255092989,-0.193342543700884
1992,-0.25173593434413,0.0152552085432602,-0.130889544850197,0.388309392280383,0.471123698530328,0.304053144053687
1993,-1.10447529244938,-0.213838669179842,-0.288391827298476,-0.218913789420645,0.167258960779031,-0.0646349081073051
1994,-0.292941240846047,-0.406676793405246,-0.235591486522532,0.20232309866127,0.0745707834805216,-0.699176061535821
1995,-0.439513728202196,-0.628242129787815,-0.493598417669974,0.0690236294029238,-0.0492144299200834,-0.20408029245102
1996,-0.14796568920406,-0.242868197987886,-1.14305434512514,-0.748089743681922,-0.118487341955598,0.128573353497082
1997,0.0654614329207073,0.0471877587963605,-0.0563710395869199,-0.447751956371581,0.536703035025739,-0.580121303769161
1998,0.343977624359484,-0.301195257048558,-0.290346754405959,0.0826105521291896,-0.16197705558368,0.422785862982094
1999,-0.366929112575857,-0.835521110862635,-0.107869850026699,-0.416041228485794,-0.194307809111971,-0.0263739817954061
2000,-0.143189571301073,0.441972607401362,0.25354944433235,0.320816725430614,0.368533884319122,0.188786268556774
2001,0.315862279443011,0.0164716985639397,0.366317553845255,0.390362136509554,0.648794270124285,0.345105291337745
2002,0.28905610137223,0.36695718978584,0.32498022911929,0.251111355063558,-0.277764359445495,0.16742687906136
2003,-0.355908187691724,0.260186492394412,0.100351360089031,0.132340918469557,0.0285999953735562,-0.493522473476813
2004,1.0112529123128,0.184049818002855,0.139441072428347,0.169017919622146,-0.513356786859204,-1.21151257401388
2005,-0.084090853367889,0.408938372452894,0.0834868087795373,0.148987371043463,0.402691393976615,0.0151599788918932
2006,0.607434009929694,0.334742698257059,0.11918789385834,0.0302991434006648,-0.0938215174217449,0.1310558381823
2007,0.94953223311566,0.430262959848723,0.000347709468383695,-0.162853561120491,-0.00967447931738175,0.0615017904126922
2008,0.345711734115281,0.562544504483569,-0.0143718179060577,-0.322382232781195,-0.0865294956569924,-0.0434488166288584
2009,0.569021368246185,0.197375580551705,0.440532443416806,0.101073465242024,-0.0752672135134118,-0.111313660133763
2010,-0.0816080759193927,0.193374086531829,-0.13955869515518,0.276768836024826,-0.0103747058577486,-0.214121740837467
2011,0.205453457226402,0.247169358521322,0.0708235097905114,-0.0753137078537467,0.497682853941993,0.340723708285341
2012,-0.64787944898113,-0.390577980255991,-0.14675078643776,-0.125375555536534,-0.473046072319152,0.189740734914658
2013,-0.421809679962875,0.00502969058005753,-0.0417882559252813,0.150138545811273,-0.254758694605041,-0.259864196879457
2014,0.92208764261877,0.916181344409924,0.0730192936030574,0.10070952720828,0.0926272919828417,0.0414145470628822
2015,0.368943096060288,0.915306872667511,0.26546318719432,0.0362850535155483,-0.0546706636271699,0.00813468612362689
