Year,1,2,3,4,5,6
1993,1.35359298007411,0.0210180559503153,0.0548123650499246,-0.00898826808846653,-0.61279498134329,-0.53897019113611
1994,0.541178807071702,-0.167968604294065,-0.717742982488558,-0.490760898371382,-0.100198576607886,0.7926329297187
1995,-0.0777279856557627,0.809947671809302,0.723657075681823,0.741623640239704,0.445208565726198,2.0290029275965
1996,-0.534763497793415,-0.516040880829517,-0.779547884377041,-0.354785480792255,-0.0282261016990422,0.915142658010933
1997,0.0732879789536698,-0.366815510890555,0.645988755916412,0.196082502337389,0.387545683081044,1.75528930869355
1998,0.143439808355952,-0.60151048700314,-0.662031101602817,-0.287027598660345,-1.10961019596277,1.26274938123756
1999,0.540858541301732,-0.340598096693927,0.0625838172021211,0.179296863121773,-0.0923184107533075,1.63308739741669
2000,0.578117298172439,0.882042796468909,0.211220293237083,0.344739874943613,0.653171166762743,1.01700628805963
2001,-0.0980320489549458,-0.337266454824495,-0.242332419542388,0.207246119077002,-0.492258019919953,-0.284251618787252
2002,0.237390931116348,0.231807289216879,0.67577492709762,0.567383855575855,0.628600156282249,-0.152259114803432
2003,0.173239620121051,0.0508293405146043,-0.163294696442911,-0.68415867711286,0.0525786386064349,0.230001060218772
2004,0.179822008900783,0.017428341031688,-0.388826658762338,0.079521533388387,-0.939700590015152,1.10591820852043
2005,0.342737934612868,0.737461592822724,0.981619441411234,0.337820800752693,0.676825843430505,1.01925982295883
2006,0.906474875182338,0.392929971235438,-0.0978013761899454,0.126521054589051,-0.0892721913760788,0.635271252671887
2007,0.259409772157052,0.383548387143964,0.553763581953301,0.407586938036824,0.297098356901877,-0.678402581464904
2008,-0.687322106737056,0.664224377578953,0.166533034076713,-0.182474759355623,-0.877803112860084,0.21599581179831
2009,-0.918627258100577,-0.736138942570274,-0.456731664496629,-0.562942819245408,-1.17513701291152,-0.246896941171525
2010,-0.454910629458497,-0.514989299834638,-0.753817339236893,-0.790601546067189,-1.01266214282775,0.0176862420566684
2011,0.221127376074636,0.597395957905915,0.517553815264143,0.0763691856853157,-0.84167407695645,1.59539535323926
2012,-0.358701286412908,-0.177439536392559,0.489934935258552,0.213137933048386,0.557337292851771,0.342899298568223
2013,-0.147337230589553,-0.471936699932764,0.0211648424159634,-0.281742544668123,-0.184723365890282,-0.559634683849837
2014,-0.553386882910934,-0.684174705625963,-0.0623705363743294,0.239762800350582,-0.129236945842013,-0.716426199062658
2015,-1.48790902680392,-0.438317800373383,-0.06674549315162,-0.629384615509137,-0.490465510757404,-0.688428215427356
