Year,1,2,3,4,5,6,7+
1980,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA
1999,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA
2006,552.599939,2541.09612438,1825.6090668875,69.733387088,9.998806,0.8055256,0.138159
2007,1227.396592,5530.9723667275,1776.3840165845,277.999289032,0.0048651,2.2869655,0.00055615
2008,2368.240861,2893.2641734725,631.098878474,163.217410256,37.70725225,8.39214085,0.81598595
2009,2031.979343,5678.59955354,1988.055549853,114.138680712,17.44931825,26.4662274,2.938918
2010,2023.10245,11797.326330315,3243.3696911855,336.226838024,27.75316085,3.2445751,2.4425281
2011,2479.907843,8872.34409771,1558.6342229735,155.43848284,14.1917682,18.53345785,0.894248
2012,1423.38276,10295.990660725,7942.538953944,1234.846002224,52.4343839,0.4770693,0.01812225
2013,2039.91678,5394.5911055225,9367.0187159265,1817.687530912,88.8448986,9.4650109,0.86415105
2014,4380.270112,6221.7248466675,8481.2228179395,3444.88718052,493.4705503,78.8721955,9.59182705
2015,4419.7623,8316.0326892925,4958.252723781,1478.449257968,761.35291544,276.039060155,40.15120374015
